Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"REF Ślusarz"; "J. CEBULI 14, 46-080 Chróścice, powiat: opolski, woj: opolskie"; "Umowa o pracę na czas określony"; "Univ Schody Polska sp. z o.o."; 18.11.2021; 
"Szwaczka"; "Panieńska 7/8, 82-300 Elbląg, powiat: m. Elbląg, woj: warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Przedsiębiorstwo ""OLIMOR"" Sławomir Mordusewicz"; 18.11.2021; 
"Wizażystka"; "Zwierzyniecka 10/5, 31-102 Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na okres próbny"; "KRONBERG SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Tynkarz"; "Polska, 00-000 Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na okres próbny"; "UZNAŃSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Pracownik socjalny II stopnia"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ PLACÓWEK CARITAS W PROSZOWICACH"; 18.11.2021; 
"Stolarz"; "Chopina 38, 59-830 Olszyna, powiat: lubański, woj: dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "ZAKŁAD PRODUKCYJNO HANDLOWO USŁUGOWY ""ANDRE"" Andrzej Kopiś"; 18.11.2021; 
"Stolarz"; "Chopina 38, 59-830 Olszyna, powiat: lubański, woj: dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "ZAKŁAD PRODUKCYJNO HANDLOWO USŁUGOWY ""ANDRE"" Andrzej Kopiś"; 18.11.2021; 
"wychowawca"; "Ogrodowa 81, 58-250 Pieszyce, powiat: dzierżoniowski, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "Powiatowe Centrum Opieki i Wychowania w Pieszycach"; 18.11.2021; 
"Kelner/kelnerka"; "Tarnowska 7, 25-394 Kielce, powiat: m. Kielce, woj: świętokrzyskie"; "Umowa o pracę na czas określony"; "HOTEL KAMERALNY MARCIN DYBAŁA"; 18.11.2021; 
"Magazynier/ operator wózka widlowego "; "26-050 Zagnańsk, powiat: kielecki, woj: świętokrzyskie"; "Umowa o pracę na czas określony"; "LEGION CK Sp. z o.o."; 18.11.2021; 
"Kucharz"; "Tarnowska 10, 25-900 Kielce, powiat: m. Kielce, woj: świętokrzyskie"; "Umowa o pracę na czas określony"; "Dom Pomocy Społecznej im.F.Malskiej w Kielcach"; 18.11.2021; 
"Pomocnik stolarza"; "34-220 Białka 650, powiat: suski, woj: małopolskie"; "Umowa o pracę na czas nieokreślony"; "ROOD-DREW GRZEGORZ POLAK"; 18.11.2021; 
"Kasjer-sprzedawca"; "Mickiewicza 36 B, 34-200 Sucha Beskidzka, powiat: suski, woj: małopolskie"; "Umowa o pracę na czas określony"; "KARMINA Sp. z o.o"; 18.11.2021; 
"Pracownik leśny"; "Dargikowo, powiat: białogardzki, woj: zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 18.11.2021; 
"Operator maszyn kamieniarskich."; "Tadeusza Kościuszki 15, 89-400 Sępólno Krajeńskie, powiat: sępoleński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "KAMIENIARSTWO Tomasz Mindikowski"; 18.11.2021; 
"Piekarz"; "Krosinko, powiat: poznański, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 18.11.2021; 
"Cukiernik"; "Krosinko, powiat: poznański, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 18.11.2021; 
"Sprzedawca"; "Spółdzielcza 5, 42-450 Łazy, powiat: zawierciański, woj: śląskie"; "Umowa o pracę na okres próbny"; "FIRMA HANDLOWO - USŁUGOWO - TRANSPORTOWA Langner Zbigniew"; 18.11.2021; 
"Sprzedawca"; "Leśna 26, 42-400 Zawiercie, powiat: zawierciański, woj: śląskie"; "Umowa o pracę na okres próbny"; "FIRMA HANDLOWO - USŁUGOWO - TRANSPORTOWA Langner Zbigniew"; 18.11.2021; 
"Kierowca kat. B"; "32-415 Raciechowice 243, powiat: myślenicki, woj: małopolskie"; "Umowa o pracę na czas nieokreślony"; "FIRMA HANDLOWO - USŁUGOWA TOMASZ BĘTKOWSKI"; 18.11.2021; 
"Kierownik Sprzedaży"; "32-415 Raciechowice 243, powiat: myślenicki, woj: małopolskie"; "Umowa o pracę na czas nieokreślony"; "FIRMA HANDLOWO - USŁUGOWA TOMASZ BĘTKOWSKI"; 18.11.2021; 
"Monter ociepleń budynków"; "Nowa Wieś Grodziska, powiat: złotoryjski, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 18.11.2021; 
"Kierownik sprzętu i transportu"; "33-230 Skrzynka 81, powiat: dąbrowski, woj: małopolskie"; "Umowa o pracę na czas określony"; "Przedsiębiorstwo Wydobywczo-Produkcyjne Kruszbet Krzysztof Kozyra"; 18.11.2021; 
"Magazynier"; "Kościańska 24, 64-020 Głuchowo, powiat: kościański, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "Lidia Wojciechowska Firma Handlowo Usługowa ARSTEEL"; 18.11.2021; 
"technik farmaceutyczny"; "56-160 Wińsko 2a, powiat: wołowski, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "Apteka ""Pod Eskulapem"" mgr farm. Maria Gościniak"; 18.11.2021; 
"Kosmetyczka+Staż POWER V"; "Łódź, powiat: m. Łódź, woj: łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; 27.10.2021; 
"Ślusarz"; "Pawłowo, powiat: gnieźnieński, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 18.11.2021; 
"Pracownik administracyjno-biurowy- Wydział Budżetu i Analiz Finansowych"; "Gniezno, powiat: gnieźnieński, woj: wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; 18.11.2021; 
"Kasjer- sprzedawca"; "Toruńska 74, 87-103 Mała Nieszawka, powiat: toruński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Dino Polska SA"; 17.11.2021; 
"Inspektor nadzoru - instalator"; "Jagiellońska 70, 43-600 Jaworzno, powiat: m. Jaworzno, woj: śląskie"; "Umowa o pracę na czas określony"; "Miejski Zarząd Nieruchomości Komunalnych"; 17.11.2021; 
"PSYCHOLOG"; "Marii Konopnickiej 1/7, 05-092 Dziekanów Leśny, powiat: warszawski zachodni, woj: mazowieckie"; "Umowa o pracę na czas określony"; "Placówka Opiekuńczo-Wychowawcza nr 2"; 17.11.2021; 
"WYCHOWAWCA"; "Marii Konopnickiej 1/7, 05-092 Dziekanów Leśny, powiat: warszawski zachodni, woj: mazowieckie"; "Umowa o pracę na czas określony"; "Placówka Opiekuńczo-Wychowawcza nr 2"; 17.11.2021; 
"Operator koparki jednonaczyniowej, koparko - ładowarki"; "Kobylińska 10a, 63-700 Krotoszyn, powiat: krotoszyński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO HANDLOWO -USŁUGOWO-TRANSPORTOWE ''EP'A"" EDMUND PESTKA"; 17.11.2021; 
"Zdun"; "Rawicka 41, 63-700 Krotoszyn, powiat: krotoszyński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ I MIESZKANIOWEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 17.11.2021; 
"Monter konstrukcji stalowych/aluminiowych"; "Konarskiego 1, 41-943 Piekary Śląskie, powiat: m. Piekary Śląskie, woj: śląskie"; "Umowa o pracę na okres próbny"; """POLO - TECH"" REALIZACJE PRZEMYSŁOWE KRZYSZTOF PASIECZNY"; 18.11.2021; 
"Palacz kotłów parowych"; "Bełchatowska 6A, 95-081 Dłutów, powiat: pabianicki, woj: łódzkie"; "Umowa o pracę na okres próbny"; "Fabryka Mebli DREWNOPOL Sp. z o.o."; 18.11.2021; 
"Pomoc kuchenna"; "Malinka 139, 43-460 Wisła, powiat: cieszyński, woj: śląskie"; "Umowa o pracę na okres próbny"; """3 Ptaki"" spółka z ograniczoną odpowiedzialnością"; 18.11.2021; 
"Kucharz"; "Malinka 139, 43-460 Wisła, powiat: cieszyński, woj: śląskie"; "Umowa o pracę na okres próbny"; """3 Ptaki"" spółka z ograniczoną odpowiedzialnością"; 18.11.2021; 
"Fryzjer/ka"; "Os. Oświecenia 33B/4, 31-636 Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na okres próbny"; "PRACOWNIA FRYZUR G&K "" KUBICA"" GRZEGORZ KUBICA"; 18.11.2021; 
"Fryzjer"; "Zwierzyniecka 10/5, 31-102 Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na okres próbny"; "KRONBERG SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Pomocnik malarza konstrukcji stalowych"; "Eugeniusza Kwiatkowskiego 14, 27-400 Ostrowiec Świętokrzyski, powiat: ostrowiecki, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "FINOW POLSKA Sp. z o.o."; 18.11.2021; 
"PRACOWNIK BUDOWLANY/WYKOŃCZENIA WNĘTRZ"; "Bolesława Limanowskiego 3/2, 47-200 Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na okres próbny"; "EDD-BUD USŁUGI REMONTOWO - BUDOWLANE EDMUND WOLAK"; 18.11.2021; 
"KIEROWCA AUTOBUSU"; "Kozielska 2, 47-224 Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na okres próbny"; "MIEJSKI ZAKŁAD KOMUNIKACYJNY W KĘDZIERZYNIE-KOŹLU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Robotnik gospodarczy"; "Jagiellońska 76, 25-001 Kielce, powiat: m. Kielce, woj: świętokrzyskie"; "Umowa o pracę na czas określony"; "Miejska Kuchnia Cateringowa w Kielcach"; 18.11.2021; 
"Kamieniarz/ montażysta "; "26-021 Suków 248B, powiat: kielecki, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "MARMUR KIELCE MAGDALENA JANOWCZYK"; 18.11.2021; 
"Hydraulik"; "Panoramiczna 2, 25-503 Kielce, powiat: m. Kielce, woj: świętokrzyskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO GOSPODARKI MIESZKANIOWEJ SPÓŁKA Z OGRANISZONĄ ODPOWIEDZIALMOŚCIĄ"; 18.11.2021; 
"Introligator"; "GÓRNA 11A, 25-900 Kielce, powiat: m. Kielce, woj: świętokrzyskie"; "Umowa o pracę na czas określony"; "DRUKARNIA DUET Sp. z o.o. w Kielcach"; 18.11.2021; 
"Pracownik wsparcia produkcji spożywczej"; "Skrajna 8, 25-650 Kielce, powiat: m. Kielce, woj: świętokrzyskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "VOLTPOOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Kamieniarz/szlifierz (budowlany)"; "Suków 248B, 26-021 Suków, powiat: kielecki, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "PPPKB""MARMUR"""; 18.11.2021; 
"Magazynier"; "Zagnańska 149, 25-563 Kielce, powiat: m. Kielce, woj: świętokrzyskie"; "Umowa o pracę na okres próbny"; "Świętokrzyskie Centrum Piekarsko-Cukiernicze ""AS-POLZAP"" Spółka Jawna"; 18.11.2021; 
"Kucharz"; "26-140 Występa 63, powiat: skarżyski, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "ECHA LEŚNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Operator linii do oprawy zeszytowej"; "Piła, powiat: pilski, woj: wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; 18.11.2021; 
"Operator falcerki do łamania papieru"; "Piła, powiat: pilski, woj: wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; 18.11.2021; 
"Kierowca C+ E"; "44-330 Jastrzębie-Zdrój, powiat: m. Jastrzębie-Zdrój, woj: śląskie"; "Umowa o pracę na czas określony"; "STANISŁAW BIELASZKA PRZEDSIĘBIORSTWO TRANSPORTOWO-HANDLOWO-USŁUGOWE ""BIELASZKA"""; 18.11.2021; 
"Szlifierz kamienia"; "Grunwaldzka 37b, 13-200 Działdowo, powiat: działdowski, woj: warmińsko-mazurskie"; "Umowa o pracę na czas nieokreślony"; "Ewa Frelczak-Okuniewska ZAKŁAD KAMIENIARSKI ""EFKAM"" Nazwa skrócona: ""EFKAM"""; 18.11.2021; 
"nauczyciel języka angielskiego"; "Witolda Pileckiego 34, 21-500 Biała Podlaska, powiat: m. Biała Podlaska, woj: lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Rafał Szpilewicz"; 18.11.2021; 
"Brukarz"; "33-200 Dąbrowa Tarnowska 157, powiat: dąbrowski, woj: małopolskie"; "Umowa o pracę na okres próbny"; "Bartłomiej Krupa - ""BADRÓG""."; 18.11.2021; 
"Pracownik działu produkcji"; "Malbork, powiat: malborski, woj: pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 18.11.2021; 
"Spawacz"; "Komunalna 6 A, 62-700 Turek, powiat: turecki, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO- USŁUGOWE ""EL-METEX-2"" MICHAŁ MATYSIAK"; 17.11.2021; 
"mechanik/elektromechanik "; "95-200 Świątniki 18, powiat: pabianicki, woj: łódzkie"; "Umowa o pracę na okres próbny"; "BMB PHUP Bogusław Błoch"; 17.11.2021; 
"Fizjoterapeuta"; "Eisenbahnstr. 1, 16225 Eberswalde, Niemcy"; "Umowa o pracę na czas nieokreślony"; "Ulrike Liedtke Physiotherapie & Kosmetik BeautySpa"; 18.11.2021; 
"Murarz tynkarz"; "59-220 Legnica, powiat: m. Legnica, woj: dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "BUDUJAN Jan Wożyński"; 17.11.2021; 
"Dekarz"; "59-220 Legnica, powiat: m. Legnica, woj: dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "BUDUJAN Jan Wożyński"; 17.11.2021; 
"Monter ociepleń budynków"; "Cała Legnica i okolice, 59-220 Legnica, powiat: m. Legnica, woj: dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "BUDUJAN Jan Wożyński"; 17.11.2021; 
"Technik usług kosmetycznych"; "Gdańska 17/1A, 84-230 Rumia, powiat: wejherowski, woj: pomorskie"; "Umowa o pracę na czas określony"; "Magdalena Miotk Gabinet Kosmetyczny ""YOKO"""; 18.11.2021; 
"Monter sprzętu oświetleniowego i lamp elektrycznych"; "ANTONIEGO HEDY PS. ""SZARY"" 14, 27-400 Ostrowiec Świętokrzyski, powiat: ostrowiecki, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "BEE-LIGHT FACTORY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ"; 18.11.2021; 
"Spawacz"; "Pszczyńska 430, 44-335 Jastrzębie-Zdrój, powiat: m. Jastrzębie-Zdrój, woj: śląskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe ""ENERGOBUDOGAZ"" Spółka z ograniczoną odpowiedzialn..."; 17.11.2021; 
"Monter urządzeń sanitarnych"; "Pszczyńska 430, 44-335 Jastrzębie-Zdrój, powiat: m. Jastrzębie-Zdrój, woj: śląskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe ""ENERGOBUDOGAZ"" Spółka z ograniczoną odpowiedzialn..."; 17.11.2021; 
"Technik prac biurowych"; "KOŁŁĄTAJA 7, 48-100 Głubczyce, powiat: głubczycki, woj: opolskie"; "Umowa o pracę na czas określony"; "ND POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 17.11.2021; 
"Spawacz elektryczny"; "Fabryczna 6, 22-100 Chełm, powiat: m. Chełm, woj: lubelskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""CEMMECH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 17.11.2021; 
"Elektryk "; "Transportowa 3, 63-700 Krotoszyn, powiat: krotoszyński, woj: wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "GEMBIAK MIKSTACKI SPÓŁKA JAWNA"; 17.11.2021; 
"magazynier"; "76-004 Karnieszewice 5, powiat: koszaliński, woj: zachodniopomorskie"; "Umowa o pracę na czas określony"; "DEGA SPÓŁKA AKCYJNA"; 17.11.2021; 
"Frezer CNC "; "Szczecińska 63, 75-122 Koszalin, powiat: m. Koszalin, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "JES OPAKOWANIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 17.11.2021; 
"Ślusarz narzędziowy"; "Szczecińska 63, 75-122 Koszalin, powiat: m. Koszalin, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "JES OPAKOWANIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 17.11.2021; 
"Psycholog/Interwent Kryzysowy"; "Pszczelnicza 10, 41-100 Siemianowice Śląskie, powiat: m. Siemianowice Śląskie, woj: śląskie"; "Umowa o pracę na okres próbny"; "Ośrodek Interwencji Kryzysowej w Siemianowicach Śląskich"; 17.11.2021; 
"Wychowawca w placówkach oświatowych, wsparcia dziennego, wychowawczych i opiekuńczych oraz instytucjach pieczy zastępczej"; "Dębowa 23, 40-104 Katowice, powiat: m. Katowice, woj: śląskie"; "Umowa o pracę na okres próbny"; "CARITAS ARCHIDIECEZJI KATOWICKIEJ OŚRODEK ŚW. JACKA"; 17.11.2021; 
"Pomocniczy robotnik drogowy"; "Polkowice, powiat: polkowicki, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 17.11.2021; 
"Manikiurzystka"; "Tomaszów Lubelski, powiat: tomaszowski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; 16.11.2021; 
"Pizzerman"; "Tomaszów Lubelski, powiat: tomaszowski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; 16.11.2021; 
"Pomoc kuchenna"; "Tomaszów Lubelski, powiat: tomaszowski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; 16.11.2021; 
"Lakiernik samochodowy"; "Łaszczówka-Kolonia, powiat: tomaszowski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; 16.11.2021; 
"Blacharz samochodowy"; "Łaszczówka-Kolonia, powiat: tomaszowski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; 16.11.2021; 
"kucharz"; "Włoszczowa, powiat: włoszczowski, woj: świętokrzyskie"; "Umowa o pracę na czas określony"; "kontakt przez OHP"; 16.11.2021; 
"Monter sieci i urządzeń telekomunikacyjnych - Oferta pracy w ramach refundacji  kosztów wyposażenia stanowiska pracy dla bezrobotnego zarejestrowanego w Urzędzie Pracy w Słupcy"; "Orchowo, powiat: słupecki, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 17.11.2021; 
"Monter instalacji wodno - kanalizacyjnych."; "62-420 Łężec 2, powiat: słupecki, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "INŻYNIERIA WODNA ZIOŁKIEWICZ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 17.11.2021; 
"Kierowca"; "Nowy Dwór Mazowiecki, powiat: nowodworski, woj: mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 17.11.2021; 
"sprzątacz"; "19-300 Ełk, powiat: ełcki, woj: warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PRZEDSIĘBIORSTWO USŁUGOWE ""CZYŚCIOSZEK""SOKOŁOW WITOLD"; 17.11.2021; 
"Operator belownicy-sprzątaczka"; "Olimpijska 16, 96-500 Sochaczew, powiat: sochaczewski, woj: mazowieckie"; "Umowa o pracę na okres próbny"; """ANKOR"" Anna Koriat"; 17.11.2021; 
"Magazynier"; "KOPERNIKA 51, 19-200 Grajewo, powiat: grajewski, woj: podlaskie"; "Umowa o pracę na czas określony"; """REKIN"" JAN MOZOLEWSKI I WSPÓLNICY SPÓŁKA JAWNA"; 17.11.2021; 
"Pracownik produkcji"; "ZŁOTA 83, 62-800 Kalisz, powiat: m. Kalisz, woj: wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "NEWPLAST POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 17.11.2021; 
"KROJCZY"; "66-620 Chociejów 8A, powiat: krośnieński, woj: lubuskie"; "Umowa o pracę na okres próbny"; "ZEW DIWANI SP. Z O.O."; 17.11.2021; 
"MURARZ"; "47-200 Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na czas określony"; "Marcin Heder ""FIRMA BUDOWLANA SPECBUD"""; 17.11.2021; 
"CIEŚLA SZALUNKOWY"; "47-200 Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na czas nieokreślony"; "Marcin Heder ""FIRMA BUDOWLANA SPECBUD"""; 17.11.2021; 
"SZWACZKA"; "Józefa Bema 15, 47-224 Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na czas określony"; "Joanna Sado Przedsiębiorstwo Handlowo-Usługowe ""COLO"""; 17.11.2021; 
"Operator maszyn czyszczących"; "Warszawska 26, 25-312 Kielce, powiat: m. Kielce, woj: świętokrzyskie"; "Umowa o pracę na okres próbny"; "SOUTH VIVA CLEANING SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 17.11.2021; 
"Sprzedawca"; "Żołnierska 74, 41-936 Bytom, powiat: m. Bytom, woj: śląskie"; "Umowa o pracę na okres próbny"; "Drzewiecka Katarzyna"; 17.11.2021; 
"Mechanik  samochodowy -- DOPOSAŻENIE STANOWISKA PRACY FP (137)"; "Pogorzel, powiat: otwocki, woj: mazowieckie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; 17.11.2021; 
"Masarz (wędliniarz) "; "18-400 Podgórze 98, powiat: łomżyński, woj: podlaskie"; "Umowa o pracę na okres próbny"; "ZAKŁADY MIĘSNE ""PODGÓRZE"" JACEK HRYNIEWICZ, JADWIGA STARSZYK, KRZYSZTOF ZAWADZKI SP. J."; 17.11.2021; 
"Elektryk konserwator maszyn i urządzeń/kierowca autobusu"; "18-421 Marianowo 7, powiat: łomżyński, woj: podlaskie"; "Umowa o pracę na okres próbny"; "Zespół Szkół Centrum Kształcenia Rolniczego im.chor.J.Szymańskiego w Marianowie"; 17.11.2021; 
"Operator maszyny rozlewniczej"; "Strzelin, powiat: strzeliński, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 17.11.2021; 
"Pomocnik ciastkarza"; "Ofiar Katynia 4, 55-200 Oława, powiat: oławski, woj: dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; """SPOŁEM"" OŁAWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 17.11.2021; 
"Krawcowa"; "Dworcowa 10, 64-000 Widziszewo, powiat: kościański, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "DANUTA OGRODOWCZYK-CZAPLA Zakład Pracy Chronionej -Zakład Produkcyjno-Handlowy ""ANDEX"""; 17.11.2021; 
"Mechanik - konserwator maszyn stolarskich"; "Dworcowa 20, 14-260 Lubawa, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "SZYNAKA-MEBLE Sp. z o.o."; 17.11.2021; 
"Konstruktor / Technolog urządzeń oraz maszyn przemysłowych"; "14-260 Fijewo 55, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "AROTECH M. Bach, A.Józefowicz sp.j."; 17.11.2021; 
"Kierownik/Koordynator projektów"; "14-260 Fijewo 55, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "AROTECH M. Bach, A.Józefowicz sp.j."; 17.11.2021; 
"Pracownik budowlany - wykończenia wnętrz"; "14-200 Iława, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Firma Remontowo-Budowlana PROFIN Łukasz Tucholski"; 17.11.2021; 
"Pomocniczy robotnik budowalny"; "14-200 Iława, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Firma Remontowo-Budowlana PROFIN Łukasz Tucholski"; 17.11.2021; 
"Młodszy Specjalista ds. rozliczeń"; "14-200 Karaś, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Barton Bartłomiej Bierbasz"; 17.11.2021; 
"Kucharz z możliwością przyuczenia"; "Biskupska 5, 14-200 Iława, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "VIDI S.C. Dorota Stadnicka Piotr Stadnicki"; 17.11.2021; 
"Dekarz"; "Myszków, powiat: myszkowski, woj: śląskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; 16.11.2021; 
"Pracownik produkcji"; "Kąkolewo, powiat: leszczyński, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 17.11.2021; 
"robotnik budowlany robót wykończeniowych"; "Al. Wojska Polskiego 32E, 77-300 Człuchów, powiat: człuchowski, woj: pomorskie"; "Umowa o pracę na czas określony"; "TELMAX E.R. GLISZCZYŃSCY SPÓŁKA JAWNA"; 17.11.2021; 
"robotnik budowlany robót wykończeniowych"; "Al. Wojska Polskiego 32E, 77-300 Człuchów, powiat: człuchowski, woj: pomorskie"; "Umowa o pracę na czas określony"; "TELMAX E.R. GLISZCZYŃSCY SPÓŁKA JAWNA"; 17.11.2021; 
