Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Operator prasy CNC"; "PRZEMYSŁOWA 7 C, 11-700 Mrągowo, powiat: mrągowski, woj: warmińsko-mazurskie"; "Umowa o pracę na czas nieokreślony"; """ROTISOL - EST"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Pracz"; "Częstochowa, powiat: m. Częstochowa, woj: śląskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 29.12.2021; 
"Monter mebli"; "Godziszewy, powiat: rypiński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"pomoc administracyjna "; "Rypin, powiat: rypiński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Pomoc kuchenna"; "Rypin, powiat: rypiński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Sortowacz"; "Pogorzałki 17, 96-320 Mszczonów, powiat: żyrardowski, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "AGENCJA PRACY TYMCZASOWEJ EMS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Sortowacz"; "Pogorzałki 17, 96-320 Mszczonów, powiat: żyrardowski, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "MONADITH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Malarz konstrukcji stalowych"; "Eugeniusza Kwiatkowskiego 14, 27-400 Ostrowiec Świętokrzyski, powiat: ostrowiecki, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "FINOW POLSKA Sp. z o.o."; 05.01.2022; 
"Monter konstrukcji stalowych"; "Eugeniusza Kwiatkowskiego 14, 27-400 Ostrowiec Świętokrzyski, powiat: ostrowiecki, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "FINOW POLSKA Sp. z o.o."; 05.01.2022; 
"Programista plazmy CNC"; "Eugeniusza Kwiatkowskiego 14, 27-400 Ostrowiec Świętokrzyski, powiat: ostrowiecki, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "FINOW POLSKA Sp. z o.o."; 05.01.2022; 
"Pracownik ds. ofertowania"; "Eugeniusza Kwiatkowskiego 14, 27-400 Ostrowiec Świętokrzyski, powiat: ostrowiecki, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "FINOW POLSKA Sp. z o.o."; 05.01.2022; 
"Moderator treści"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Moderator treści"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 05.01.2022; 
"Konserwator - pracownik utrzymania ruchu"; "Eugeniusza Kwiatkowskiego 14, 27-400 Ostrowiec Świętokrzyski, powiat: ostrowiecki, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "FINOW POLSKA Sp. z o.o."; 05.01.2022; 
"Dostawca potraw w restauracji indyjskiej"; "Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; 05.01.2022; 
"Oczyszczacz konstrukcji stalowych - śruciarz"; "Eugeniusza Kwiatkowskiego 14, 27-400 Ostrowiec Świętokrzyski, powiat: ostrowiecki, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "FINOW POLSKA Sp. z o.o."; 05.01.2022; 
"Magazynier"; "Eugeniusza Kwiatkowskiego 14, 27-400 Ostrowiec Świętokrzyski, powiat: ostrowiecki, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "FINOW POLSKA Sp. z o.o."; 05.01.2022; 
